Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Whole country,Budapest,Villages,Cities
,,,,,Országos,Budapest,Községek,Városok
,,,2020 Q1,2020. I.,95.44141411008911,100.23058207668886,88.74002406029418,97.5886758639558
,,,Q2,II.,99.26456483334603,98.37212165807505,102.87822543550698,97.58400405936027
,,,Q3,III.,102.66643377112685,100.97028731234883,103.46505777112456,102.72338409512578
,,,Q4,IV.,102.62758728543804,100.42700895288719,104.91669273307424,102.10393598155811
,,,2021 Q1,2021. I.,108.4676251056815,103.77390627933775,107.33860533514898,110.60474202425688
,,,Q2,II.,113.27314954908974,108.13393030147664,112.50194798527144,115.41432810747783
,,,Q3,III.,120.49922298694358,110.80749867656672,123.49116250292784,122.7360847006443
,,,Q4,IV.,125.13790992297578,113.41367947627555,129.30003746556403,127.8080589876649
,,,2022 Q1,2022. I.,135.05925808880593,121.43908115780333,136.76263492246807,139.88961191046738
,,,Q2,II.,145.74697166125273,130.2350404685545,150.32805315849288,149.95446258160746
,,,Q3,III.,143.38891583473068,132.20373411095662,139.45496672887379,150.34104341183598
,,,Q4,IV.,140.5315836434596,131.64433788592584,135.77629524053367,146.88726239974127
,,,2023 Q1,2023. I.,145.653455093494,135.0830513186479,138.71072902366706,154.22516986341245
,,,Q2,II.,149.95514807809053,136.66152860486613,148.8328016796885,156.25858631504138
,,,Q3,III.,151.41976643126796,133.73961111416432,152.58776922764977,158.55709704024304
,,,Q4,IV.,154.5789683191436,138.32489177109764,156.51976007818772,160.40704826317616
,,,2024 Q1,2024. I.,163.96469336380238,144.09768407525914,168.68985648079197,170.46857907031153
,,,Q2,II.,170.06990206462987,150.67318946300458,176.12543493357455,175.51781794289073
,,,Q3,III.,172.77694666361236,151.18876624429382,180.58483460794116,178.56477392452675
,,,Q4,IV.,177.33816765530855,157.88744550064118,183.08371524486208,182.71907837761475
,,,2025 Q1,2025. I.,190.63929586665313,174.5516224000614,189.68741606940094,196.76272921185284
,,,Q2,II.,200.43919176082076,185.4722173625268,194.90430930406555,208.294581283971
,,,Q3,III.,214.05114218336436,196.3194283338073,,
